word,count
empresa,3358
funcionários,1586
pessoas,1136
gestão,931
assédio,765
liderança,750
moral,713
ambiente,695
salário,661
trabalhar,630
rh,566
gestores,547
cultura,542
nao,491
funcionário,463
tóxica,458
salários,368
ceo,353
cargo,351
extremamente,349
colaboradores,349
tóxico,344
totalmente,336
tempo,333
dono,331
pagam,329
carreira,328
saco,327
gerente,321
gente,319
líderes,311
mercado,305
paga,295
pior,292
plano,291
existe,290
pressão,284
demissão,283
burnout,282
clientes,275
metas,273
abaixo,267
time,266
mundo,263
puxa,261
gerentes,253
qualquer,248
diretoria,245
cliente,241
função,240
equipe,239
benefícios,238
vida,237
péssima,232
pessoa,226
fica,224
processos,223
saúde,215
gestor,214
chefe,210
semana,208
alta,207
pj,203
despreparada,197
ficar,197
funcionarios,195
extra,190
pq,189
h,188
trabalha,186
ruim,184
pagar,181
projetos,180
dias,179
falar,178
cargos,177
crescimento,176
horário,176
extras,175
contratam,173
completamente,170
salario,169
diretores,168
projeto,164
lideranças,164
despreparados,164
pessoal,163
trabalhei,162
promoção,161
processo,160
tecnologia,159
mental,159
mulheres,158
sair,155
dinheiro,155
donos,155
lixo,154
clt,153
banco,151
presencial,151
conta,150
reconhecimento,150
cara,149
baixos,149
ir,149
diretor,148
feedback,148
panelinha,145
funções,144
profissionais,140
reuniões,140
assedio,139
pro,138
cobrança,138
melhor,137
problemas,136
estagiários,136
sexual,135
setor,134
abuso,133
quase,132
aumento,130
precisa,130
chefes,129
casos,128
caso,127
carga,126
frente,126
acha,126
suporte,125
demitido,124
so,124
empresas,124
fala,123
péssimo,123
machista,122
gerência,122
respeito,119
vale,119
problema,118
plr,117
demissões,117
promovido,113
acham,112
trabalhando,112
tóxicos,112
ficam,111
diversidade,110
voce,110
contrato,109
falam,108
colaborador,107
amigos,107
demandas,106
medo,105
inclusive,104
demitem,104
reais,104
profissional,104
mínimo,103
toxica,103
incompetente,102
machismo,102
lideres,101
horrível,100
somente,100
mulher,99
trabalham,99
sai,99
cobram,98
desvio,98
contrata,98
experiência,98
tratam,98
tipo,97
psicológica,97
promoções,97
simplesmente,97
verdade,96
meta,96
receber,95
oportunidade,95
líder,94
pagamento,94
falando,94
resultados,94
total,94
bater,94
valor,94
durante,93
principalmente,93
x,93
amigo,93
áreas,92
colocam,92
massa,92
reunião,91
comunicação,90
saber,90
motivo,89
super,89
prazos,89
abusiva,89
conhecimento,88
base,87
rotatividade,87
exploração,87
casa,87
q,87
psicológico,86
prática,86
remuneração,85
serem,85
causa,85
produtos,85
clima,85
piada,84
ameaças,84
direito,84
importa,83
trata,83
passa,83
vendem,83
office,83
várias,82
merda,82
desorganizada,82
manda,82
microgerenciamento,82
então,81
puxar,81
pedir,81
escritório,81
qualidade,81
gptw,81
realidade,80
ganhar,80
alto,80
marketing,79
home,79
produto,79
serviço,79
mão,78
demanda,78
desenvolvimento,78
ganha,78
